,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
0,TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,3654.436485893875,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,,,
1,PayMe India,"Financial Services, FinTech",Angel,29235.491887151,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,,,
2,Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,23388.3935097208,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,,,
3,Mihuru,"Finance, Internet, Travel",Seed,2192.661891536325,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,2018,,,
4,Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,16079.520537933051,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,2018,,,
5,Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,87706.475661453,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,,,
6,PaisaDukan,Financial Services,Seed,9501.534863324076,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,2018,,,
7,Pando,"Logistics, Supply Chain Management",Seed,29235.491887151,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.,2018,,,
8,Mintifi,"Financial Services, Lending",Seed,29235.491887151,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,2018,,,
9,Carcrew,"Automotive, Marketplace, Online Portals",Seed,29235.491887151,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,2018,,,
10,Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,14617.7459435755,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,,,
11,Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,9501.534863324076,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,,,
12,Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,14617.7459435755,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,,,
13,Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,73088.7297178775,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company,2018,,,
14,Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,58470.983774302,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,2018,,,
15,Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,14617.7459435755,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,,,
16,Kaleidofin,Financial Services,Seed,40929.6886420114,"Chennai, Tamil Nadu, India",A fintech platform.,2018,,,
17,IndigoLearn,"E-Learning, Education",Seed,2192.661891536325,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,,,
18,Coutloot,"E-Commerce, Fashion, Mobile",Seed,14617.7459435755,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,2018,,,
19,Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,24850.16810407835,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,,,
20,Finzy,"Financial Services, Lending",Seed,19003.06972664815,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,2018,,,
21,Fitternity,"Fitness, Health Care, Wellness",Seed,29235.491887151,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,,,
22,ONGO Framework,"B2B, Information Services, Information Technology",Angel,14617.7459435755,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,2018,,,
23,Propshop24,E-Commerce,Seed,7308.87297178775,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,,,
24,myUpchar,"Health Care, Hospital, Wellness",Series A,73088.7297178775,"New Delhi, Delhi, India",To bring health issues to people in their language.,2018,,,
25,ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,195877.79564391173,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,2018,,,
26,MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,7308.87297178775,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,,,
27,Inthree Access,"Consulting, Retail, Social",Series A,58470.983774302,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,,,
28,BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,131559.71349217952,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,2018,,,
29,PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,1461.77459435755,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,,,
30,Wimoxez,Internet,Seed,292.35491887151005,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,,,
31,HappyEMI,"Consumer, Financial Services, FinTech",Seed,14617.7459435755,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,,,
32,Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,58470.983774302,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,,,
33,Propelld,"Education, Financial Services, FinTech",Seed,3654.436485893875,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,2018,,,
34,ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,1754.1295132290602,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,,,
35,Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,7308.87297178775,"Bengaluru, Karnataka, India",Stethoscope for customer feedback !,2018,,,
36,Credy,"Credit, Financial Services, FinTech, Lending",Seed,20464.8443210057,"Bengaluru, Karnataka, India",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,,,
37,iChamp,E-Learning,Seed,73088.7297178775,"Gurgaon, Haryana, India",iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,,,
38,Qandle,Software,Seed,17541.2951322906,"Gurgaon, Haryana, India",A cloud-based HR management and employee engagement platform.,2018,,,
39,HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,14617.7459435755,"Pune, Maharashtra, India",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,,,
40,Doodhwala,"Food Delivery, Organic, Organic Food",Seed,32159.041075866102,"Bengaluru, Karnataka, India",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,,,
41,DronaHQ,Mobile,Angel,7308.87297178775,"Mumbai, Maharashtra, India",DronaHQ is an enterprise mobile engagement platform.,2018,,,
42,BuyForexOnline,Travel,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,29235.491887151,"Bangalore, Karnataka, India",BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,,,
43,Colive.in,Consumer,Seed,26311.9426984359,"Bangalore, Karnataka, India",A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,,,
44,Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,7308.87297178775,"Thane, Maharashtra, India",Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,,,
45,Fincash.com,Wealth Management,Seed,2192.661891536325,"Mumbai, Maharashtra, India",A startup in the personal finance space in India .,2018,,,
46,Pandorum Technologies,Biotechnology,Series A,52623.8853968718,"Bengaluru, Karnataka, India",Bengaluru based biotech startup.,2018,,,
47,Shirsa Labs,"Education, Gaming, Training",Seed,7308.87297178775,"Mumbai, Maharashtra, India",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,,,
48,PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,4385.32378307265,"Bangalore, Karnataka, India",PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,,,
49,Eduvanz,"Finance, Financial Services",Angel,7308.87297178775,"Mumbai, Maharashtra, India","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,,,
50,Rupeek,"Financial Services, Lending",Series A,99839.20479462067,"Bangalore, Karnataka, India",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,,,
51,Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,20464.8443210057,"Pune, Maharashtra, India",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,,,
52,Shape (School Health and Physical Education),Education,Seed,2923.5491887151,"Pune, Maharashtra, India",Physical education start up,2018,,,
53,Placio,"Hospitality, Real Estate",Seed,29235.491887151,"Noida, Uttar Pradesh, India",Placio is a student housing and a complete broker-free platform.,2018,,,
54,HeyHolidays,"Tourism, Travel",Seed,14617.7459435755,"Bangalore, Karnataka, India","HeyHolidays, a global player in online vacation rentals.",2018,,,
55,Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,62856.307557374654,"Bengaluru, Karnataka, India",Amazon's Kindle Direct Publishing for Indian Languages,2018,,,
56,Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,4385.32378307265,"Gurgaon, Haryana, India",Silversparro is a deep learning technology solution provider.,2018,,,
57,Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,5333.226136529747,"Bengaluru, Karnataka, India",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,,,
58,Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,58470.983774302,"Bangalore, Karnataka, India",Predictive Healthcare Analytics Company,2018,,,
59,Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,7308.87297178775,"Bangalore, Karnataka, India",Virtual/Augmented Reality Start Up .,2018,,,
60,6Degree,"Fashion, Lifestyle, Retail",Seed,5847.0983774302,"Mumbai, Maharashtra, India",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,,,
61,Ekincare,Medical,Series A,21926.61891536325,"Hyderabad, Andhra Pradesh, India",EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,,,
62,Groww,"Finance, Impact Investing, Internet",Seed,1754.1295132290602,"Kormangala, Karnataka, India",Groww offers a new way of investing money.,2018,,,
63,Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,7308.87297178775,"Mumbai, Maharashtra, India",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,,,
64,Hubhopper,"Internet, Social News, Sports",Series A,7308.87297178775,"Delhi, Delhi, India",Get your daily dose of interest as summaries from news and magazine stories .,2018,,,
65,Rubix108 Technologies,Information Technology,Seed,14617.7459435755,"Pune, Maharashtra, India",Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,,,
66,NiYO Solutions,"Finance, Financial Services, FinTech",Series A,192954.2464551966,"Bangalore, Karnataka, India",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018,,,
67,Simulanis,Training,Seed,7308.87297178775,"New Delhi, Delhi, India",A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018,,,
68,MY CHIRAAG CAB,Travel,Seed,14617.7459435755,"Jaipur, Rajasthan, India",MY CHIRAAG CAB SERVICES PVT LTD,2018,,,
69,Flathalt,—,Angel,730.887297178775,"Gurgaon, Haryana, India",FInd your Customized Home here.,2018,,,
70,Trendlyne Technologies,Financial Services,Seed,2923.5491887151,"Bangalore, Karnataka, India",Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018,,,
71,HealthPlix,"Fitness, Health Care, Wellness",Series A,43853.2378307265,"Bangalore, Karnataka, India",HealthPlix is a healthtech startup,2018,,,
72,dishq,—,Seed,5847.0983774302,"Bengaluru, Karnataka, India",dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018,,,
73,Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,16079.520537933051,"Bengaluru, Karnataka, India",The boundaries between Human and Machines are shrinking fast.,2018,,,
74,myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,7308.87297178775,"Delhi, Delhi, India",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018,,,
75,Trell,—,Seed,18272.182429469376,"Bangalore City, Karnataka, India",Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018,,,
76,Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,2631.19426984359,"Bangalore, Karnataka, India",Building future human capital through 21st Century Skills programs for K-12,2018,,,
77,Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,14617.7459435755,"Jaipur, Rajasthan, India",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,2018,,,
78,The Ken,Digital Media,Series A,21926.61891536325,"Bengaluru, Karnataka, India",The Ken is India’s first subscriptions-only business news site,2018,,,
79,SaffronStays,—,Seed,29235.491887151,"Mumbai, Maharashtra, India",SaffronStays connects travellers to India's Incredible hosts.,2018,,,
80,Foyr,"Home Decor, Interior Design",Series A,61394.5329630171,"Pune, Maharashtra, India","Foyr.com is India's first online, automated interior designer",2018,,,
81,MEngage,"Health Care, Medical Device, Mobile Apps",Seed,2558.1055401257127,"Jaipur, Rajasthan, India",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2018,,,
82,McXtra,"Finance, Financial Services, Insurance",Seed,19003.06972664815,"Andheri, Maharashtra, India",McXtra is a digital insurance broking startup.,2018,,,
83,SmartVizX,"Software, Virtual Reality",Seed,21195.731618184476,"Noida, Uttar Pradesh, India",It is a Virtual Reality Solutions StartUp,2018,,,
84,Scale Labs,—,Seed,14617.7459435755,"Delhi, Delhi, India",Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,2018,,,
85,HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,65779.85674608976,"Bengaluru, Karnataka, India",HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,2018,,,
86,Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,14617.7459435755,"Noida, Uttar Pradesh, India",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,2018,,,
87,Wholesome Habits (EAT Anytime),"Food and Beverage, Snack Food",Seed,7308.87297178775,"Mumbai, Maharashtra, India",Wholesome Habits (EAT Anytime) is a healthy snacks Company.,2018,,,
88,GoBumpr,"Automotive, E-Commerce, Mobile",Seed,8770.6475661453,"Mylapore, Tamil Nadu, India",Car Service and Bike Service Mobile App,2018,,,
89,Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,3654.436485893875,"Ahmedabad, Gujarat, India",Fixpocket is a internet-based startup.,2018,,,
90,edureka!,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,29235.491887151,"Bangalore, Karnataka, India","Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2018,,,
91,Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,65779.85674608976,"Mumbai, Maharashtra, India","WOW, as customers react to his studiously taught, trained, polite and courteous nature.",2018,,,
92,Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,14617.7459435755,"Gurgaon, Haryana, India",Personal Finance,2018,,,
93,IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,219266.18915363253,"Bengaluru, Karnataka, India",IndiQube is a provider of co-working spaces based in Bengaluru.,2018,,,
94,NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,4385.32378307265,"Gurgaon, Haryana, India",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2018,,,
95,Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,730.887297178775,"Ghaziabad, Uttar Pradesh, India",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,2018,,,
96,DigiConnectt Technologys,"Information Services, Information Technology",Seed,1827.2182429469376,"Bengaluru, Karnataka, India",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,2018,,,
97,Locus.sh,"Big Data, Data Visualization, Logistics, Software",Series A,58470.983774302,"Bangalore, Karnataka, India",Locus is an intelligent logistics automation platform.,2018,,,
98,Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,14617.7459435755,"New Delhi, Delhi, India","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",2018,,,
99,Picxy,Internet,Seed,1900.3069726648152,"Guntur, Andhra Pradesh, India","A stock photo startup based in Amravati, Andhra Pradesh.",2018,,,
100,Huddle,Consulting,Seed,4385.32378307265,"Haryana, Haryana, India",A coworking incubator Company.,2018,,,
101,Cash Suvidha,Finance,Seed,14617.7459435755,"New Delhi, Delhi, India",Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,2018,,,
102,Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,29235.491887151,"Bangalore, Karnataka, India",Providing financial access to the millions of mobile users in India using alternative credit assessment,2018,,,
103,Roadcast,—,Angel,3654.436485893875,"New Delhi, Delhi, India",Transforming the way businesses deliver. Work-force & fleet mobility tools.,2018,,,
104,Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,1754.1295132290602,"Bengaluru, Karnataka, India",Climate Smart Precision Agriculture Platform,2018,,,
105,Avail Finance,"Finance, FinTech, Mobile Payments",Series A,251425.23022949861,"Bangalore, Karnataka, India",Avail is a mobile-first platform aiming to financially include the urban mass of India.,2018,,,
106,Tripeur,Information Technology,Seed,8770.6475661453,"Bengaluru, Karnataka, India",Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,2018,,,
107,TrustCheckr,Information Technology,Angel,1461.77459435755,"Bengaluru, Karnataka, India",A Bengaluru-based fraud analytics solution provider .,2018,,,
108,HealthAssure,"Fitness, Health Care, Wellness",Seed,14617.7459435755,"Mumbai, Maharashtra, India",HealthAssure provides access to Discounted & High Quality primary care medical network.,2018,,,
109,1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,51162.11080251425,"Mumbai, Maharashtra, India",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,2018,,,
110,Kuvera.in,Financial Services,Angel,3654.436485893875,"Bangalore, Karnataka, India",An online platform for mutual fund investments.,2018,,,
111,Livehealth,"Health Care, Information Technology, Management Information Systems",Seed,16079.520537933051,"Pune, Maharashtra, India",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,2018,,,
112,Gramophone,Farming,Seed,14617.7459435755,"Indore, Madhya Pradesh, India",An agricultural inputs startup Company.,2018,,,
113,Buddy4Study.com,"Career Planning, Education, Higher Education, Service Industry",Series A,43853.2378307265,"Noida, Uttar Pradesh, India",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,2018,,,
114,Toffee,—,Seed,21926.61891536325,"Gurgaon, Haryana, India","Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",2018,,,
115,ORO Wealth,—,Series A,23388.3935097208,"Mumbai, Maharashtra, India",Online wealth management platform,2018,,,
116,HealWell24,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,2923.5491887151,"Mumbai, Maharashtra, India","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",2018,,,
117,Acko General Insurance,"Financial Services, Insurance, Private Social Networking",Series A,175412.951322906,"Mumbai, Maharashtra, India",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,2018,,,
118,Edyoo,Education,Seed,14617.7459435755,"Bengaluru, Karnataka, India","Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",2018,,,
119,BetterPlace Safety Solutions Pvt. Ltd.,"Human Resources, Security, Training",Series A,43853.2378307265,"Bangalore City, Karnataka, India","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",2018,,,
120,mfine,"Health Care, Hospital",Series A,61394.5329630171,"Bengaluru, Karnataka, India",Hospital & Health Care Start up,2018,,,
121,TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,3654.436485893875,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,,,
122,Lucideus,"Consulting, Cyber Security, Network Security",Venture - Series Unknown,73088.7297178775,"New Delhi, Delhi, India","Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",2018,,,
123,Medikabazaar,"B2B, Medical Device",Series A,73088.7297178775,"Mumbai, Maharashtra, India",India's largest medical and surgical supplies marketplace,2018,,,
124,NIRA,"Credit, Financial Services, FinTech, Lending",Seed,14617.7459435755,"Bangalore, Karnataka, India","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2018,,,
125,Duroflex Pvt. Ltd.,"Consumer Goods, Manufacturing",Private Equity,321590.41075866105,"Alleppey, Kerala, India",Duroflex Pvt. Ltd. operates as a dominant mattress player.,2018,,,
126,Jetbrain Robotics,"Health Care, Hospital, Medical, Robotics",Seed,1023.2422160502852,"Gurgaon, Haryana, India","Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",2018,,,
127,Healthkart,"E-Commerce, Fitness, Health Care",Venture - Series Unknown,146177.459435755,"Gurgaon, Haryana, India","The one stop shop for health, fitness & beauty.",2018,,,
128,Shuttl,"Apps, Mobile, Transportation",Debt Financing,14617.7459435755,"Gurgaon, Haryana, India","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",2018,,,
129,Azure Power,"Energy, Renewable Energy, Solar",Post-IPO Equity,2704282.9995614677,"New Delhi, Delhi, India","Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",2018,,,
130,LetsMD,"Fitness, Health Care, Wellness",Seed,14617.7459435755,"New Delhi, Delhi, India",LetsMD.com is a marketplace for elective surgeries,2018,,,
131,Twenty Two Motors,"Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",Corporate Round,950153.4863324076,"Haryana, Haryana, India",Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,2018,,,
132,Truebil,"Automotive, E-Commerce, Marketplace",Series A,29235.491887151,"Mumbai, Maharashtra, India","Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",2018,,,
